,field_office,Applications Received2,Approved3,Denied4,Pending5,quarter,state,code,year,fy
333,Beijing,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",China,,2016.0,FY 2017
335,Guangzhou,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",China,,2016.0,FY 2017
339,Havana,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",Cuba,,2016.0,FY 2017
343,Santo Domingo,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",Dominican Republic,,2016.0,FY 2017
347,San Salvador,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",El Salvador,,2016.0,FY 2017
351,Frankfurt,37, -   ,10,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",Germany,23,2016.0,FY 2017
355,Accra,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",Ghana,,2016.0,FY 2017
359,Athens,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",Greece,,2016.0,FY 2017
363,Guatemala City,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",Guatemala,,2016.0,FY 2017
367,Port-au-Prince,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",Haiti,,2016.0,FY 2017
371,New Delhi,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",India,,2016.0,FY 2017
375,Rome, -   , -   ,18,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",Italy,14,2016.0,FY 2017
379,Amman,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",Jordan,,2016.0,FY 2017
383,Nairobi,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",Kenya,,2016.0,FY 2017
387,Ciudad Juarez,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",Mexico,,2016.0,FY 2017
389,Mexico City,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",Mexico,,2016.0,FY 2017
391,Monterrey,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",Mexico,,2016.0,FY 2017
395,Lima,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",Peru,,2016.0,FY 2017
399,Manila,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",Philippines,,2016.0,FY 2017
403,Moscow,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",Russia,,2016.0,FY 2017
407,Johannesburg,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",South Africa,,2016.0,FY 2017
411,Seoul,51,1,37,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",South Korea,54,2016.0,FY 2017
415,Bangkok,,,,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",Thailand,,2016.0,FY 2017
419,London,,,1,,"FY 2017, 1st Q, Oct. 1-Dec. 31, 2016",United Kingdom,1,2016.0,FY 2017
11,Anchorage,366,193,36,915,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Alaska,ANC,2017.0,FY 2017
15,Phoenix,"4,437","2,070",340,"11,051","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Arizona,PHO,2017.0,FY 2017
17,Tucson,"1,039",616,90,"2,427","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Arizona,TUC,2017.0,FY 2017
21,Fort Smith,470,371,20,"1,169","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Arkansas,FSA,2017.0,FY 2017
25,Chula Vista,0,0,0,0,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",California,CVC,2017.0,FY 2017
27,Fresno,"3,827","2,318",253,"8,716","FY 2017, 2nd Q, Jan. 1-March 31, 2017",California,FRE,2017.0,FY 2017
29,Imperial,491,474,98,"1,203","FY 2017, 2nd Q, Jan. 1-March 31, 2017",California,IMP,2017.0,FY 2017
31,Los Angeles,"6,138","4,364",175,"14,489","FY 2017, 2nd Q, Jan. 1-March 31, 2017",California,LOS,2017.0,FY 2017
33,Los Angeles County,"8,096","4,439",594,"19,320","FY 2017, 2nd Q, Jan. 1-March 31, 2017",California,LAC,2017.0,FY 2017
35,Sacramento,"4,666","2,157",198,"11,326","FY 2017, 2nd Q, Jan. 1-March 31, 2017",California,SAC,2017.0,FY 2017
37,San Bernardino,"6,836","4,271",525,"14,381","FY 2017, 2nd Q, Jan. 1-March 31, 2017",California,SBD,2017.0,FY 2017
39,San Diego,"5,921","3,250",303,"14,014","FY 2017, 2nd Q, Jan. 1-March 31, 2017",California,SND,2017.0,FY 2017
41,San Fernando Valley,"5,868","3,278",238,"13,660","FY 2017, 2nd Q, Jan. 1-March 31, 2017",California,SFV,2017.0,FY 2017
43,San Francisco,"10,774","6,629",330,"24,050","FY 2017, 2nd Q, Jan. 1-March 31, 2017",California,SFR,2017.0,FY 2017
45,San Jose,"6,054","4,419",253,"14,009","FY 2017, 2nd Q, Jan. 1-March 31, 2017",California,SNJ,2017.0,FY 2017
47,Santa Ana,"5,687","2,843",568,"14,236","FY 2017, 2nd Q, Jan. 1-March 31, 2017",California,SAA,2017.0,FY 2017
51,Denver,"3,374","1,123",222,"9,193","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Colorado,DEN,2017.0,FY 2017
55,Hartford,"3,465","1,337",168,"9,559","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Connecticut,HAR,2017.0,FY 2017
59,Dover AFB,0,0,0,0,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Delaware,DVD,2017.0,FY 2017
63,Washington,"6,498","5,092",415,"17,433","FY 2017, 2nd Q, Jan. 1-March 31, 2017",District of Columbia,WAS,2017.0,FY 2017
67,Fort Meyers,"1,390",450,106,"3,487","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Florida,OFM,2017.0,FY 2017
69,Hialeah,"3,897","2,774",338,"12,946","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Florida,HIA,2017.0,FY 2017
71,Jacksonville,"1,717","1,153",128,"4,587","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Florida,JAC,2017.0,FY 2017
73,Kendall,"3,811","3,475",271,"12,397","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Florida,KND,2017.0,FY 2017
75,Miami,"3,753","1,452",224,"14,207","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Florida,MIA,2017.0,FY 2017
77,Oakland Park,"4,064","1,834",253,"13,806","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Florida,OKL,2017.0,FY 2017
79,Orlando,"3,495","1,569",359,"10,917","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Florida,ORL,2017.0,FY 2017
81,Tampa,"3,417","1,629",267,"11,240","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Florida,TAM,2017.0,FY 2017
83,West Palm Beach,"2,895","1,921",363,"8,254","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Florida,WPB,2017.0,FY 2017
87,Atlanta,"7,901","3,360",275,"22,236","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Georgia,ATL,2017.0,FY 2017
91,Honolulu,"1,166",780,65,"3,091","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Hawaii,HHW,2017.0,FY 2017
95,Boise,612,349,19,"1,304","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Idaho,BOI,2017.0,FY 2017
99,Chicago,"10,966","6,433",682,"24,113","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Illinois,CHI,2017.0,FY 2017
103,Indianapolis,"1,962","1,278",106,"4,165","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Indiana,INP,2017.0,FY 2017
107,Des Moines,"1,100",649,95,"3,153","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Iowa,DSM,2017.0,FY 2017
111,Wichita,482,325,14,"1,039","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Kansas,WIC,2017.0,FY 2017
115,Louisville,"1,201",946,106,"2,753","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Kentucky,LOU,2017.0,FY 2017
119,New Orleans,"1,154",683,116,"3,476","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Louisiana,NOL,2017.0,FY 2017
123,Portland,306,154,D,554,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Maine,POO,2017.0,FY 2017
127,Baltimore,"6,735","7,260",192,"14,494","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Maryland,BAL,2017.0,FY 2017
131,Boston,"5,676","3,184",292,"14,668","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Massachusetts,BOS,2017.0,FY 2017
133,Lawrence,"2,571","1,637",178,"6,406","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Massachusetts,LAW,2017.0,FY 2017
137,Detroit,"4,657","3,069",351,"10,974","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Michigan,DET,2017.0,FY 2017
141,St. Paul,"4,416","3,065",330,"12,557","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Minnesota,SPM,2017.0,FY 2017
145,Kansas City,"1,519","1,331",73,"3,273","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Missouri,KAN,2017.0,FY 2017
147,St. Louis,"1,174",832,126,"2,823","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Missouri,STL,2017.0,FY 2017
151,Helena,96,111,D,154,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Montana,HEL,2017.0,FY 2017
155,Omaha,"1,052",728,144,"2,229","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Nebraska,OMA,2017.0,FY 2017
159,Las Vegas,"2,735",944,156,"8,302","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Nevada,LVG,2017.0,FY 2017
161,Reno,560,289,21,"1,157","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Nevada,REN,2017.0,FY 2017
165,Manchester,592,432,43,"1,164","FY 2017, 2nd Q, Jan. 1-March 31, 2017",New Hampshire,MAN,2017.0,FY 2017
169,Mount Laurel,"2,844","1,488",132,"6,517","FY 2017, 2nd Q, Jan. 1-March 31, 2017",New Jersey,MTL,2017.0,FY 2017
171,Newark,"11,677","7,616",790,"29,927","FY 2017, 2nd Q, Jan. 1-March 31, 2017",New Jersey,NEW,2017.0,FY 2017
175,Albuquerque,738,494,48,"1,535","FY 2017, 2nd Q, Jan. 1-March 31, 2017",New Mexico,ABQ,2017.0,FY 2017
179,Albany,838,608,107,"2,054","FY 2017, 2nd Q, Jan. 1-March 31, 2017",New York,ALB,2017.0,FY 2017
181,Buffalo,"1,538","1,084",151,"3,594","FY 2017, 2nd Q, Jan. 1-March 31, 2017",New York,BUF,2017.0,FY 2017
183,Long Island,"6,979","2,953",508,"21,246","FY 2017, 2nd Q, Jan. 1-March 31, 2017",New York,LNY,2017.0,FY 2017
185,New York,"16,753","6,599","1,400","54,770","FY 2017, 2nd Q, Jan. 1-March 31, 2017",New York,NYC,2017.0,FY 2017
187,Queens,"6,070","3,108",341,"17,812","FY 2017, 2nd Q, Jan. 1-March 31, 2017",New York,QNS,2017.0,FY 2017
191,Charlotte,"2,654","1,559",130,"6,061","FY 2017, 2nd Q, Jan. 1-March 31, 2017",North Carolina,CLT,2017.0,FY 2017
193,Raleigh,"2,403","1,694",124,"4,533","FY 2017, 2nd Q, Jan. 1-March 31, 2017",North Carolina,RAL,2017.0,FY 2017
197,Cincinnati,"1,041",934,77,"1,765","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Ohio,CIN,2017.0,FY 2017
199,Cleveland,"1,405","1,240",95,"2,636","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Ohio,CLE,2017.0,FY 2017
201,Columbus,"1,733",747,102,"3,862","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Ohio,CLM,2017.0,FY 2017
205,Oklahoma City,"1,194",675,79,"3,206","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Oklahoma,OKC,2017.0,FY 2017
209,Portland,"2,927","2,217",110,"5,576","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Oregon,POO,2017.0,FY 2017
213,Philadelphia,"6,322","3,144",307,"16,219","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Pennsylvania,PHI,2017.0,FY 2017
215,Pittsburgh,"1,007",689,45,"2,119","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Pennsylvania,PIT,2017.0,FY 2017
219,Providence,898,856,132,"2,118","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Rhode Island,PRO,2017.0,FY 2017
223,Charleston,774,657,39,"1,943","FY 2017, 2nd Q, Jan. 1-March 31, 2017",South Carolina,CHS,2017.0,FY 2017
225,Greer,550,545,47,816,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",South Carolina,GRR,2017.0,FY 2017
229,Memphis,"2,353",965,117,"6,704","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Tennessee,MEM,2017.0,FY 2017
233,Dallas,"9,996","2,989",540,"27,053","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Texas,DAL,2017.0,FY 2017
235,El Paso,"2,476","2,000",143,"5,816","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Texas,ELP,2017.0,FY 2017
237,Harlingen,"1,788",978,104,"4,861","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Texas,HLG,2017.0,FY 2017
239,Houston,"10,072","4,051",439,"28,028","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Texas,HOU,2017.0,FY 2017
241,San Antonio,"5,323","3,997",231,"11,927","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Texas,SNA,2017.0,FY 2017
245,Salt Lake City,"1,729",785,62,"4,195","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Utah,SLC,2017.0,FY 2017
249,St. Albans,254,209,11,501,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Vermont,STA,2017.0,FY 2017
253,Norfolk,"1,645","1,131",56,"4,376","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Virginia,NOR,2017.0,FY 2017
257,Seattle,"6,072","3,822",223,"12,480","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Washington,SEA,2017.0,FY 2017
259,Spokane,336,280,12,567,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Washington,SPO,2017.0,FY 2017
261,Yakima,635,652,59,"1,152","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Washington,YAK,2017.0,FY 2017
265,Milwaukee,"1,525",829,105,"3,634","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Wisconsin,MIL,2017.0,FY 2017
273,Hagatna,283,264,17,623,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Guam,AGA,2017.0,FY 2017
277,Charlotte Amalie,123,147,27,206,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",U.S. Virgin Islands,CHA,2017.0,FY 2017
279,Christiansted,48,34,D,195,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",U.S. Virgin Islands,CHR,2017.0,FY 2017
283,San Juan,610,527,85,"2,415","FY 2017, 2nd Q, Jan. 1-March 31, 2017",Puerto Rico,SAJ,2017.0,FY 2017
329,Beijing, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",China,,2017.0,FY 2017
331,Guangzhou, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",China,,2017.0,FY 2017
335,Havana, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Cuba,,2017.0,FY 2017
339,Santo Domingo, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Dominican Republic,,2017.0,FY 2017
343,San Salvador, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",El Salvador,,2017.0,FY 2017
347,Frankfurt, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Germany,23,2017.0,FY 2017
351,Accra, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Ghana,,2017.0,FY 2017
355,Athens, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Greece,,2017.0,FY 2017
359,Guatemala City, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Guatemala,,2017.0,FY 2017
363,Port-au-Prince, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Haiti,,2017.0,FY 2017
367,New Delhi, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",India,,2017.0,FY 2017
371,Rome, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Italy,14,2017.0,FY 2017
375,Amman, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Jordan,,2017.0,FY 2017
379,Nairobi, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Kenya,,2017.0,FY 2017
383,Ciudad Juarez, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Mexico,,2017.0,FY 2017
385,Mexico City, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Mexico,,2017.0,FY 2017
387,Monterrey, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Mexico,,2017.0,FY 2017
391,Lima, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Peru,,2017.0,FY 2017
395,Manila, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Philippines,,2017.0,FY 2017
399,Moscow, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Russia,,2017.0,FY 2017
403,Johannesburg, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",South Africa,,2017.0,FY 2017
407,Seoul, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",South Korea,54,2017.0,FY 2017
411,Bangkok, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",Thailand,,2017.0,FY 2017
415,London, N/A , N/A , N/A , N/A ,"FY 2017, 2nd Q, Jan. 1-March 31, 2017",United Kingdom,1,2017.0,FY 2017
11,Montgomery,636,D,0,"3,169","FY 2017, 3rd Q, April 1-June 30, 2017",Alabama,MGA,2017.0,FY 2017
15,Anchorage,354,187,57,984,"FY 2017, 3rd Q, April 1-June 30, 2017",Alaska,ANC,2017.0,FY 2017
19,Phoenix,"3,974","2,580",305,"12,241","FY 2017, 3rd Q, April 1-June 30, 2017",Arizona,PHO,2017.0,FY 2017
21,Tucson,"1,001",976,104,"2,368","FY 2017, 3rd Q, April 1-June 30, 2017",Arizona,TUC,2017.0,FY 2017
25,Fort Smith,383,321,16,"1,219","FY 2017, 3rd Q, April 1-June 30, 2017",Arkansas,FSA,2017.0,FY 2017
29,Chula Vista,0,0,0,0,"FY 2017, 3rd Q, April 1-June 30, 2017",California,CVC,2017.0,FY 2017
31,Fresno,"3,792","3,151",284,"9,115","FY 2017, 3rd Q, April 1-June 30, 2017",California,FRE,2017.0,FY 2017
33,Imperial,561,429,104,"1,228","FY 2017, 3rd Q, April 1-June 30, 2017",California,IMP,2017.0,FY 2017
35,Los Angeles,"6,226","4,946",403,"16,748","FY 2017, 3rd Q, April 1-June 30, 2017",California,LOS,2017.0,FY 2017
37,Los Angeles County,"6,873","4,255",870,"19,377","FY 2017, 3rd Q, April 1-June 30, 2017",California,LAC,2017.0,FY 2017
39,Sacramento,"4,385","3,354",272,"12,149","FY 2017, 3rd Q, April 1-June 30, 2017",California,SAC,2017.0,FY 2017
41,San Bernardino,"5,831","6,258",894,"13,477","FY 2017, 3rd Q, April 1-June 30, 2017",California,SBD,2017.0,FY 2017
43,San Diego,"5,190","5,058",614,"12,997","FY 2017, 3rd Q, April 1-June 30, 2017",California,SND,2017.0,FY 2017
45,San Fernando Valley,"5,149","3,799",303,"14,769","FY 2017, 3rd Q, April 1-June 30, 2017",California,SFV,2017.0,FY 2017
47,San Francisco,"8,330","5,884",322,"26,711","FY 2017, 3rd Q, April 1-June 30, 2017",California,SFR,2017.0,FY 2017
49,San Jose,"4,574","4,272",318,"13,770","FY 2017, 3rd Q, April 1-June 30, 2017",California,SNJ,2017.0,FY 2017
51,Santa Ana,"5,421","4,497",532,"14,754","FY 2017, 3rd Q, April 1-June 30, 2017",California,SAA,2017.0,FY 2017
55,Denver,"2,687","1,959",409,"9,496","FY 2017, 3rd Q, April 1-June 30, 2017",Colorado,DEN,2017.0,FY 2017
59,Hartford,"2,663","2,618",164,"9,507","FY 2017, 3rd Q, April 1-June 30, 2017",Connecticut,HAR,2017.0,FY 2017
63,Dover AFB,0,0,0,0,"FY 2017, 3rd Q, April 1-June 30, 2017",Delaware,DVD,2017.0,FY 2017
67,Washington,"4,921","8,499",561,"18,127","FY 2017, 3rd Q, April 1-June 30, 2017",District of Columbia,WAS,2017.0,FY 2017
71,Fort Meyers,"1,327",764,93,"4,620","FY 2017, 3rd Q, April 1-June 30, 2017",Florida,OFM,2017.0,FY 2017
73,Hialeah,"3,473","3,357",497,"12,510","FY 2017, 3rd Q, April 1-June 30, 2017",Florida,HIA,2017.0,FY 2017
75,Jacksonville,"1,419","1,389",133,"3,843","FY 2017, 3rd Q, April 1-June 30, 2017",Florida,JAC,2017.0,FY 2017
77,Kendall,"2,371","3,542",349,"10,778","FY 2017, 3rd Q, April 1-June 30, 2017",Florida,KND,2017.0,FY 2017
79,Miami,"5,839","1,227",228,"18,756","FY 2017, 3rd Q, April 1-June 30, 2017",Florida,MIA,2017.0,FY 2017
81,Oakland Park,"3,455","2,171",288,"14,740","FY 2017, 3rd Q, April 1-June 30, 2017",Florida,OKL,2017.0,FY 2017
83,Orlando,"3,343","2,684",492,"11,107","FY 2017, 3rd Q, April 1-June 30, 2017",Florida,ORL,2017.0,FY 2017
85,Tampa,"3,146","2,330",342,"11,430","FY 2017, 3rd Q, April 1-June 30, 2017",Florida,TAM,2017.0,FY 2017
87,West Palm Beach,"2,552","1,955",488,"8,449","FY 2017, 3rd Q, April 1-June 30, 2017",Florida,WPB,2017.0,FY 2017
91,Atlanta,"5,898","4,336",575,"21,475","FY 2017, 3rd Q, April 1-June 30, 2017",Georgia,ATL,2017.0,FY 2017
95,Honolulu,"1,093","1,049",109,"2,895","FY 2017, 3rd Q, April 1-June 30, 2017",Hawaii,HHW,2017.0,FY 2017
99,Boise,616,632,44,"1,255","FY 2017, 3rd Q, April 1-June 30, 2017",Idaho,BOI,2017.0,FY 2017
103,Chicago,"9,474","7,260",697,"25,474","FY 2017, 3rd Q, April 1-June 30, 2017",Illinois,CHI,2017.0,FY 2017
107,Indianapolis,"1,701","1,766",142,"3,962","FY 2017, 3rd Q, April 1-June 30, 2017",Indiana,INP,2017.0,FY 2017
111,Des Moines,986,571,66,"3,498","FY 2017, 3rd Q, April 1-June 30, 2017",Iowa,DSM,2017.0,FY 2017
115,Wichita,505,337,46,"1,149","FY 2017, 3rd Q, April 1-June 30, 2017",Kansas,WIC,2017.0,FY 2017
119,Louisville,"1,109","1,220",142,"2,499","FY 2017, 3rd Q, April 1-June 30, 2017",Kentucky,LOU,2017.0,FY 2017
123,New Orleans,"1,097",633,118,"3,808","FY 2017, 3rd Q, April 1-June 30, 2017",Louisiana,NOL,2017.0,FY 2017
127,Portland,304,310,D,731,"FY 2017, 3rd Q, April 1-June 30, 2017",Maine,POO,2017.0,FY 2017
131,Baltimore,"5,734","5,036",265,"16,631","FY 2017, 3rd Q, April 1-June 30, 2017",Maryland,BAL,2017.0,FY 2017
135,Boston,"5,218","3,543",292,"16,042","FY 2017, 3rd Q, April 1-June 30, 2017",Massachusetts,BOS,2017.0,FY 2017
137,Lawrence,"2,284","1,846",350,"6,346","FY 2017, 3rd Q, April 1-June 30, 2017",Massachusetts,LAW,2017.0,FY 2017
141,Detroit,"4,072","3,742",509,"10,789","FY 2017, 3rd Q, April 1-June 30, 2017",Michigan,DET,2017.0,FY 2017
145,St. Paul,"3,952","2,547",205,"13,753","FY 2017, 3rd Q, April 1-June 30, 2017",Minnesota,SPM,2017.0,FY 2017
149,Kansas City,"1,306","1,585",162,"2,839","FY 2017, 3rd Q, April 1-June 30, 2017",Missouri,KAN,2017.0,FY 2017
151,St. Louis,845,703,86,"3,053","FY 2017, 3rd Q, April 1-June 30, 2017",Missouri,STL,2017.0,FY 2017
155,Helena,110,93,D,187,"FY 2017, 3rd Q, April 1-June 30, 2017",Montana,HEL,2017.0,FY 2017
159,Omaha,"1,113",848,239,"2,405","FY 2017, 3rd Q, April 1-June 30, 2017",Nebraska,OMA,2017.0,FY 2017
163,Las Vegas,"2,291","1,593",170,"8,869","FY 2017, 3rd Q, April 1-June 30, 2017",Nevada,LVG,2017.0,FY 2017
165,Reno,434,322,44,"1,266","FY 2017, 3rd Q, April 1-June 30, 2017",Nevada,REN,2017.0,FY 2017
169,Manchester,481,574,57,"1,024","FY 2017, 3rd Q, April 1-June 30, 2017",New Hampshire,MAN,2017.0,FY 2017
173,Mount Laurel,"2,265","2,123",167,"6,837","FY 2017, 3rd Q, April 1-June 30, 2017",New Jersey,MTL,2017.0,FY 2017
175,Newark,"9,676","11,042",721,"29,231","FY 2017, 3rd Q, April 1-June 30, 2017",New Jersey,NEW,2017.0,FY 2017
179,Albuquerque,669,564,62,"1,576","FY 2017, 3rd Q, April 1-June 30, 2017",New Mexico,ABQ,2017.0,FY 2017
183,Albany,747,823,87,"1,878","FY 2017, 3rd Q, April 1-June 30, 2017",New York,ALB,2017.0,FY 2017
185,Brooklyn,0,0,0,0,"FY 2017, 3rd Q, April 1-June 30, 2017",New York,BNY,2017.0,FY 2017
187,Buffalo,"1,503","1,848",215,"3,014","FY 2017, 3rd Q, April 1-June 30, 2017",New York,BUF,2017.0,FY 2017
189,Long Island,"6,541","4,612",355,"22,830","FY 2017, 3rd Q, April 1-June 30, 2017",New York,LNY,2017.0,FY 2017
191,New York,"16,509","13,575","1,798","55,684","FY 2017, 3rd Q, April 1-June 30, 2017",New York,NYC,2017.0,FY 2017
193,Queens,"5,912","4,826",382,"18,915","FY 2017, 3rd Q, April 1-June 30, 2017",New York,QNS,2017.0,FY 2017
197,Charlotte,"2,129","1,586",128,"6,504","FY 2017, 3rd Q, April 1-June 30, 2017",North Carolina,CLT,2017.0,FY 2017
199,Raleigh,"1,754","2,147",131,"4,046","FY 2017, 3rd Q, April 1-June 30, 2017",North Carolina,RAL,2017.0,FY 2017
203,Cincinnati,814,887,57,"1,678","FY 2017, 3rd Q, April 1-June 30, 2017",Ohio,CIN,2017.0,FY 2017
205,Cleveland,"1,217","1,335",144,"2,432","FY 2017, 3rd Q, April 1-June 30, 2017",Ohio,CLE,2017.0,FY 2017
207,Columbus,"1,565","2,209",127,"3,153","FY 2017, 3rd Q, April 1-June 30, 2017",Ohio,CLM,2017.0,FY 2017
211,Oklahoma City,"1,040",857,75,"3,284","FY 2017, 3rd Q, April 1-June 30, 2017",Oklahoma,OKC,2017.0,FY 2017
215,Portland,"2,424","1,992",154,"5,928","FY 2017, 3rd Q, April 1-June 30, 2017",Oregon,POO,2017.0,FY 2017
219,Philadelphia,"5,218","3,283",333,"18,658","FY 2017, 3rd Q, April 1-June 30, 2017",Pennsylvania,PHI,2017.0,FY 2017
221,Pittsburgh,734,942,70,"1,848","FY 2017, 3rd Q, April 1-June 30, 2017",Pennsylvania,PIT,2017.0,FY 2017
